Drink,Page,Glass,Lemon Juice (oz),Lime Juice (oz),Pineapple Juice (oz),Grapefruit Juice (oz),Orange Juice (oz),Ginger Beer (oz),Bundeberg guava soda (oz),Grapefruit soda (oz),Ginger Ale (oz),Whole Milk (oz),Heavy Whipping Cream (oz),Sparkling Lemonade (oz),Seltzer (oz),Dem Simple Syrup (oz),Passion Fruit Syrup,Cinnamon Syrup (oz),Vanilla Syrup (oz),Honey Syrup (oz),Molasses Syrup (oz),SC Jerk Syrup,Li Hing Mui Syrup,Mai Tai Rich Simple Syrup (oz),Martinique sugarcane syrup (oz),Sweet Cream (oz),Small Hand Foods Raspberry Gum Syrup (oz),Orgeat (oz),Coconut Cream (oz),Pasion fruit puree (oz),Maple Syrup (oz),Vanilla Extract (drops),Almond Extract (drops),Spruce beet soda extract (drops),Blended Light Aged Rum (oz),Sill Aged Rum (oz),Blended Aged Rum (oz),Black Blended Rum - Overproof (oz),Black Blended Rum (oz),Cane coffey still aged rum (oz),Cane AOC Martinique Rhum Agricole Vieux (oz),Cane AOC Martinique Rhum Agricole Blanc (oz),Column still aged rum (oz),Pot still unaged rum,Pot still lightly aged rum,Pot still lightly aged rum - overproof (oz),Wray & Nephew White Overproof Rum,R.L. Seale 10 Year Rum (oz),St. Elizabeth Allspice Dram (oz),Peach Liquor (oz),Leopold Brothers Rocky Mountain Blackberry Liqueur (oz),London dry gin (oz),Sloe Gin (oz),Blanco tequila (oz),Vodka (oz),Bourbon (oz),Rye (oz),Brandy (oz),Pot stilled cachaca (oz),Luxardo Maraschino Liqueur (oz),Natural creme de cassis (oz),John D. Taylor's Velvet Falernum (oz),Pierre Ferrand Dry Curacao (oz),Blue Caracao (oz),Cherry Heering Liqueur (oz),Licor 43 (oz),Green Chartreuse (oz),Yellow Chartreuse (oz),Drambuie (oz),Apple brandy (oz),Natural pear liqueur (oz),Natural apricot liqueur (oz),Ginger liquer (oz),Batavia arrack (oz),Carbonated Chai Tea (oz),Campari (oz),Absinthe Blanc (dash),Punt e Mes (oz),Benedictine (oz),Tawny port (oz),Aquavit (oz),St. George Raspberry Liqueur (oz),Hibiscus Liqueur (oz),Peruvian pisco (oz),Bittermens New Orleans liqueur (oz),Giffard Banane du Bresil Banana Liqueur (oz),Vanilla Brandy (oz),Zirbenz Stone Pine Liqueur (oz),Oloroso sherry (oz),Amaro Di Angostura (oz),Amaro Averna (oz),Blandy's 5 Year Verdelho Madeira,Napa Wine Syrup (oz),Dry Vermouth (oz),Sparkling Wine (oz),Angostura Bitters (dash),Orange Bitters (dash),Grendine (dash),Pechaud's Bitters (dash),Herbstura (dash),Bitttermens Elemakule Tiki Bitters (drops),Bittermens Burlesque bitters (drops),Bittermens Xocolatl Mole Bitters (drops),Stiegl-Radler Grapefruit Beer (oz),Champagne (oz),Coconut water (oz),Spiral Cut Orange Peel (q),Fresh Peach (q),Passion Fruit Honey (oz),Passion Fruit Puree (oz),Pineapple Chunks (q),Mint Leaves (q),Lime Wedge (q),Egg White (q)
Cuevas,118,chilled coupe,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.25,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Norwegian Paralysis,119,collins or highball,0.5,,1.5,,1.5,,,,,,,,,0.25,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Ho Royale,119,chilled coupe,,0.75,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Chartreuse Swizzle,120,collins or highball,,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roselita,120,collins or highball,,0.5,,,,,,,,,,,1.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Center of the Galaxy,121,chilled coupe,,0.5,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callaloo Cooler,121,collins or highball,,0.75,,,,,,,,,,,1,,,0.5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Top Notch Volcano (serves 4),134,decorative bowl,,4,4,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Naked Ape,134,double old-fashioned,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Swizzle Francais,136,collins or highball,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,2,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkling Mai Tai,136,chilled coupe,,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
The Ernesto,137,double old-fashioned,,1,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
The Sexpert,137,chilled coupe,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
Kaiteur Swizzle,140,collins or highball,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
The Expedition,140,tiki mug,,1,,,,,,,,,,,2,,,0.5,0.25,0.5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Undead Gentleman,142,chilled coupe,,0.5,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.5,1,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
The Dead Reckoning,142,collins or highball,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,0.5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Falinum,144,double old-fashioned,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Humuhumunukunukuapua'a,144,double old-fashioned,0.75,,0.75,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Finkelgrog,145,double old-fashioned,,0.5,,0.5,,,,,,,,,1,,,,,,,,,,,,,0.25,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
For Pete's Sake,145,double old-fashioned,,0.75,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,1.5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Arrack Punch (serves 4),163,decorative bowl,2,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Draque,163,chilled coupe,,0.75,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Grog,165,double old-fashioned,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rum Flip,165,chilled coupe,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bombo,167,double old-fashioned,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibogus,167,collins or highball,,0.25,,,,,,,,,,,3,,,,,,0.75,,,,,,,,,,,,,1,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Pickford,168,chilled coupe,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Daiquiri No. 1,168,chilled coupe,,0.75,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Nacional Special,171,chilled coupe,,0.75,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Daisy De Santiago,171,double old-fashioned,,1,,,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Presidente,172,chilled coupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,2,,,,,,,,,,,,,,,,
Twelve Mile Limit,172,chilled coupe,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Parisian Blonde,174,chilled coupe,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora Middleton,174,chilled coupe,,0.75,,,,,,,,,,,,0.25,,,,,,,,,,,0.5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Millionaire Cocktail (No. 1),175,chilled coupe,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Wray & Ting,176,collins or highball,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus Rum Punch,176,collins or highball,,0.5,,,,,,,,,,,2,0.75,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti' Punch,179,double old-fashioned,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Barbados Rum Punch,179,footed pilsner,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jamaican Milk Punch,180,double old-fashioned,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Corn and Oil,180,double old-fashioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Queen's Park Swizzle,181,collins or highball,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,
The Chadburn,201,chilled coupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
A Wish for Grace,201,chilled coupe,0.75,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,1,,,,,,,,,,,,,,,,,,
Abricot Vieux,203,chilled coupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
